"状态","现代词条","候选整理文本","基础原文","传统分类","匹配分数","备选1","备选2"
"exact","梦见祭鬼","祭祀神道大吉利","祭祀神道大吉利","佛道僧尼鬼神","1.000","家道贫穷大吉利","道施盖者大吉利"
"missing","梦见祭鬼","祭鬼诚心，主家室无患","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","与人衣服主患至"
"exact","梦见送鬼","罪人走脱疾病去","罪人走脱疾病去","扑禁刑罚狱具","1.000","还人钱物疾病去","镶铅器物疾病去"
"missing","梦见送鬼","送鬼而出，主忧事将散","身上汗出主凶恶","身体面目齿发","0.176","旗幡竞出主疾病","井中伏泥出主财"
"missing","梦见驱鬼","持物驱鬼，主有所镇","渡天河主有所吉","天地日月星辰","0.336","桑生井上主有忧","着白衣主有人请"
"missing","梦见驱鬼","鬼惧退而去，主忧事将散","新冢棺郭主忧除","冢墓馆郭迎送","0.161","天裂有分主国忧","云开日出凶事散"
"missing","梦见妖怪","见妖而惧，主心有所畏","渡天河主有所吉","天地日月星辰","0.223","见军兵败主有凶","见手帕主有口舌"
"missing","梦见妖怪","持物镇妖，主可解忧","天裂有分主国忧","天地日月星辰","0.105","堂上地陷主安忧","桑生井上主有忧"
"missing","梦见神仙","神赐物者，主贵气至","腰带者主官至吉","冠带衣服鞋袜","0.247","拜朝廷者主富贵","金银宝者主富贵"
"missing","梦见神仙","与神言，主得福","与人公服主得职","冠带衣服鞋袜","0.285","铅与锡者主得财","与神女通得贵子"
"exact","梦见仙女","与神女通得贵子","与神女通得贵子","佛道僧尼鬼神","1.000","得金玉环生贵子","得他人镜有贵子"
"missing","梦见仙女","见仙女赐物，主家室添福","行道宫见仙主吉","宫室屋宇仓库","0.203","见铁器物主得财","剪刀剪物主得财"
"missing","梦见仙翁","见老君言有仙分","老君真人皆主吉","佛道僧尼鬼神","0.247","与恶人言有口舌","佛共人言有福助"
"missing","梦见仙翁","得仙翁教，主增寿延年","得靴鞋主奴婢吉","冠带衣服鞋袜","0.093","得人刀主行人至","行道宫见仙主吉"
"exact","梦见入仙境","仙圣到家福禄至","仙圣到家福禄至","佛道僧尼鬼神","1.000","钟鼓大鸣福禄至","超盖仓库福禄至"
"missing","梦见入仙境","入仙境而留，主心境澄澈","星入怀主生贵子","天地日月星辰","0.084","运石入家主富贵","旌旗引入山主凶"
"missing","梦见佛像","拜佛者，主吉事至","捉龟者主丧事至","龟鳖鱼虾昆虫","0.433","与人相骂者主吉","面对官者主大吉"
"missing","梦见佛像","佛放光明，主大贵","乘龙上天主大贵","天地日月星辰","0.373","掏井造井主大贵","拷讯杖责主大贵"
"exact","梦见弥勒佛","诸佛菩萨大吉利","诸佛菩萨大吉利","佛道僧尼鬼神","1.000","堂上神佛大吉利","杀猪者大吉利"
"missing","梦见弥勒佛","弥勒含笑，主家室喜事","居田宅主妻喜事","宫室屋宇仓库","0.223","抱妇人主有喜事","子死者主添喜事"
"exact","梦见菩萨","诸佛菩萨大吉利","诸佛菩萨大吉利","佛道僧尼鬼神","1.000","堂上神佛大吉利","杀猪者大吉利"
"missing","梦见菩萨","菩萨现身，主灾厄可化","诸佛菩萨大吉利","佛道僧尼鬼神","0.206","雪不沾身主孝服","羽益盖身主富贵"
"exact","梦见罗汉","诸佛菩萨大吉利","诸佛菩萨大吉利","佛道僧尼鬼神","1.000","堂上神佛大吉利","杀猪者大吉利"
"missing","梦见罗汉","罗汉显灵，主得人扶助","抱旌节主贵人扶","刀剑旌节钟鼓","0.223","果林中行主得财","与人公服主得职"
"missing","梦见和尚","见僧入宅，主有贵客","野鸭入宅主有凶","龙蛇禽兽等类","0.478","军人入宅主大吉","枷锁入宅主大凶"
"missing","梦见和尚","与僧谈法，主心有所悟","渡天河主有所吉","天地日月星辰","0.223","与人交易主有疾","与尼姑交主失财"
"exact","梦见烧香","烧香礼拜皆大吉","烧香礼拜皆大吉","佛道僧尼鬼神","1.000","拜星月烧香大吉","礼拜日月大吉昌"
"missing","梦见烧香","上香诚心，主家室平安","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","堂上地陷主安忧"
"missing","梦见拜佛","拜佛欲动大有财","带刀剑行有财利","刀剑旌节钟鼓","0.217","天子赐坐有财吉","入神庙神动大吉"
"missing","梦见拜佛","礼佛诚心，主前程有得","见鳖者主有得财","龟鳖鱼虾昆虫","0.223","白猿主有禄位得","渡天河主有所吉"
"approx","梦见念经","僧师教人念经吉","憎师教人念经吉","佛道僧尼鬼神","0.873","教人耕种远行至","身人土中百事吉"
"missing","梦见念经","持经诵心，主得心安","果林中行主得财","地理山石树木","0.194","与人公服主得职","剪刀剪物主得财"
"exact","梦见受戒","身受戒行者子孝","身受戒行者子孝","佛道僧尼鬼神","1.000","桥柱折者子孙凶","水上行者主大吉"
"missing","梦见受戒","受戒洁身，主家室和顺","身受戒行者子孝","佛道僧尼鬼神","0.206","雪不沾身主孝服","羽益盖身主富贵"
"exact","梦见入庙","神庙广大事事吉","神庙广大事事吉","宫室屋宇仓库","1.000","入神庙神动大吉","身人土中百事吉"
"missing","梦见入庙","入庙礼神，主诚愿可达","入神庙神动大吉","佛道僧尼鬼神","0.140","星入怀主生贵子","运石入家主富贵"
"missing","梦见见仙人","见老君言有仙分","与恶人言有口舌","帝王文武呼召","0.217","老君真人皆主吉","佛共人言有福助"
"missing","梦见见仙人","遇仙人指路，主前程开朗","风吹人衣主疾病","天地日月星辰","0.084","与人分花主分散","破镜照人主分散"
"approx","梦见画神像","画神佛者得人欽","画神佛者得人钦","佛道僧尼鬼神","0.873","看神佛者妻有子","得人刀主行人至"
"missing","梦见画神像","画像精工，主名声渐起","文书用印有名声","冠带衣服鞋袜","0.176","他人与笛有名声","打球者主得虚名"
"missing","梦见拜神","虔心祭神，主诚愿可达","祭祀神道大吉利","佛道僧尼鬼神","0.123","道中得财主通达","封书信者主通达"
"missing","梦见拜神","神受其拜，主事业可成","霜雪降主事不成","天地日月星辰","0.223","见浮云作事不成","雪落身上万事成"
"missing","梦见祭祖","焚香祭祖，主家门有庆","与人哭泣有庆贺","哀乐病死歌唱","0.176","强贼入宅主家破","厕中干者主家破"
"missing","梦见祭祖","祖上受享，主家运兴旺","火烧自是主兴旺","水火盗贼灯烛","0.223","强贼入宅主家破","厕中干者主家破"
"missing","梦见房子","新宅华丽，主大吉","屋宅更新主大吉","宫室屋宇仓库","0.433","军人入宅主大吉","新生男女主大吉"
"missing","梦见房子","旧宅败坏，主家运不宁","门户败坏主大凶","门户井灶橱厕","0.306","强贼入宅主家破","见桥坏主有官事"
"exact","梦见屋宅更新","屋宅更新主大吉","屋宅更新主大吉","宫室屋宇仓库","1.000","军人入宅主大吉","新生男女主大吉"
"missing","梦见屋宅更新","新屋落成，主家运转好","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","屋宅更新主大吉"
"exact","梦见屋宅破败","上屋破坏家道凶","上屋破坏家道凶","宫室屋宇仓库","1.000","癸天上屋得高官","日月初出家道昌"
"missing","梦见屋宅破败","屋败墙裂，宜慎家事之衰","雪落家庭主丧事","天地日月星辰","0.084","家中生松事转丰","枫生屋上百事遂"
"approx","梦见屋顶生草","屋中生草家欲空","尾中生草家欲空","宫室屋宇仓库","0.843","屋中生马男信至","田中生草主得财"
"missing","梦见屋顶生草","屋顶生草，宜慎家事荒废","尾中生草家欲空","宫室屋宇仓库","0.203","田中生草主得财","雪落家庭主丧事"
"exact","梦见屋顶生树","屋上生松柏益寿","屋上生松柏益寿","宫室屋宇仓库","1.000","屋上生禾官位吉","天欲晓益寿命吉"
"missing","梦见屋顶生树","树生屋顶，主家中喜事","家中欢喜百事吉","哀乐病死歌唱","0.270","家中生松事转丰","枫生屋上百事遂"
"missing","梦见屋漏","屋上穿舟有暗昧","屋下穿身有暗昧","宫室屋宇仓库","0.493","松生屋上位三公","枫生屋上百事遂"
"missing","梦见屋漏","屋漏不修，宜慎家事之失","雪落家庭主丧事","天地日月星辰","0.084","家中生松事转丰","枫生屋上百事遂"
"exact","梦见盖屋","盖城上屋大吉利","盖城上屋大吉利","宫室屋宇仓库","1.000","造旌盖主大吉利","自盖覆身大吉利"
"missing","梦见盖屋","起新屋，主家中喜事","家中欢喜百事吉","哀乐病死歌唱","0.299","家中生松事转丰","居田宅主妻喜事"
"exact","梦见拆屋","破败田地主大吉","破败田地主大吉","田园五谷耕种","1.000","修平田地大吉昌","使人种田地大吉"
"missing","梦见拆屋","拆旧建新，主家事更新","屋宅更新主大吉","宫室屋宇仓库","0.259","门更新主生贵子","强贼入宅主家破"
"exact","梦见迁居","迁入他人新宅吉","迁入他人新宅吉","宫室屋宇仓库","1.000","飞娥入灯他人败","得他人麻布衣凶"
"missing","梦见迁居","移居改业，主前程更宽","流星不落主移居","天地日月星辰","0.206","床帐改换移居吉","碾衣石移居大吉"
"exact","梦见与人争屋","与人争屋主大凶","与人争屋主大凶","宫室屋宇仓库","1.000","与妇人争屋主吉","与人丝帛大凶恶"
"approx","梦见与人争屋","与妇人争屋主吉，宜分情境","与妇人争屋主吉","宫室屋宇仓库","0.952","与人争屋主大凶","与妇人共坐大吉"
"approx","梦见房梁折","房樑忽折主大凶","房梁忽折主大凶","宫室屋宇仓库","0.747","大木忽折主凶恶","与人争屋主大凶"
"missing","梦见房梁折","房梁开裂，宜慎家中之损","家中生松事转丰","地理山石树木","0.161","家中生柏大吉利","房梁忽折主大凶"
"approx","梦见入宫","入帝王宫行大吉","入帝王官行大吉","宫室屋宇仓库","0.747","拔刀出行大吉利","与贼同行大吉利"
"missing","梦见入宫","登宫殿，主名扬于上","登大树名利显扬","地理山石树木","0.158","卧于石上主大吉","行道宫见仙主吉"
"approx","梦见上楼","上楼阁坛主大吉","上楼阁坛俱大吉","宫室屋宇仓库","0.777","卧于石上主大吉","水上行者主大吉"
"missing","梦见上楼","登楼远望，主前程开朗","登赤城郭主大吉","宫室屋宇仓库","0.093","远人来悲泣主凶","上楼阁坛俱大吉"
"exact","梦见高堂","上高堂大富贵至","上高堂大富贵至","宫室屋宇仓库","1.000","高楼饮酒富贵至","仰面向天大富贵"
"missing","梦见高堂","高堂安坐，主家中尊贵","上高堂大富贵至","宫室屋宇仓库","0.253","家中生松事转丰","家中生柏大吉利"
"exact","梦见广厦","家起高楼安稳事","家起高楼安稳事","宫室屋宇仓库","1.000","盘石安稳无忧疑","高楼饮酒富贵至"
"missing","梦见广厦","广厦千间，主家业宏开","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","天门开贵人荐引"
"exact","梦见登台","簪冠登台职位迁","簪冠登台职位迁","冠带衣服鞋袜","1.000","戴冠登车官欲迁","登岩抱石官职迁"
"missing","梦见登台","登台远眺，主名扬于众","簪冠登台职位迁","冠带衣服鞋袜","0.206","登大树名利显扬","登赤城郭主大吉"
"exact","梦见登城","上城被执官职显","上城被执官职显","宫室屋宇仓库","1.000","上城为人所拽吉","日月欲出有官职"
"missing","梦见登城","登城远望，主名扬一方","登大树名利显扬","地理山石树木","0.140","登赤城郭主大吉","城门大开主口舌"
"approx","梦见入府","入王侯府库大吉","入王侯府主大吉","宫室屋宇仓库","0.777","王侯并坐大吉利","盆主益仓库大吉"
"missing","梦见入府","坐官府中，主有所成","坐官府中主大吉","宫室屋宇仓库","0.619","渡天河主有所吉","身卧船中主有凶"
"approx","梦见入仓库","入仓库中大吉昂","入仓库中大吉昌","宫室屋宇仓库","0.873","盆主益仓库大吉","身在禾中大吉利"
"missing","梦见入仓库","起盖仓库福禄至，主家室充实","超盖仓库福禄至","宫室屋宇仓库","0.551","钟鼓大鸣福禄至","兵马入城福禄至"
"missing","梦见城池","入城者，主有所成","渡天河主有所吉","天地日月星辰","0.373","赠彩帛者主有权","席箪者主有力助"
"missing","梦见城池","登城高望，主名显身扬","登大树名利显扬","地理山石树木","0.187","登赤城郭主大吉","地高下不平主病"
"missing","梦见楼阁","登楼远望，主喜事有成","居田宅主妻喜事","宫室屋宇仓库","0.223","抱妇人主有喜事","子死者主添喜事"
"missing","梦见楼阁","高楼巍峨，主名声渐起","高楼饮酒富贵至","宫室屋宇仓库","0.206","家起高楼安稳事","文书用印有名声"
"missing","梦见宫殿","入宫殿受礼，主得贵人扶持","抱旌节主贵人扶","刀剑旌节钟鼓","0.298","见好枕有贵人扶","身在火中贵人扶"
"missing","梦见宫殿","登殿受封，主事业大成","霜雪降主事不成","天地日月星辰","0.223","道泥荆棘事大成","登赤城郭主大吉"
"missing","梦见庙宇","入庙拜神，主心事可解","牛触人心事不成","牛马猪羊六畜","0.176","车入门主有凶事","入神庙神动大吉"
"missing","梦见庙宇","庙中问签，主有感应","身卧船中主有凶","船车游行物价","0.247","渡天河主有所吉","桑生井上主有忧"
"missing","梦见门","大门开启，主喜事临门","居田宅主妻喜事","宫室屋宇仓库","0.223","抱妇人主有喜事","冢基门开百事吉"
"missing","梦见门","门扉自关，主家事谨严","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","天火烧门主凶事"
"exact","梦见开门","门户大开大吉利","门户大开大吉利","门户井灶橱厕","1.000","修移门户大吉利","门户忽开主大吉"
"approx","梦见开门","门更新主生贵子，主家室喜事","门更新主生贵子","门户井灶橱厕","0.913","食瓜子主生贵子","星入怀主生贵子"
"approx","梦见关门","门户闭塞事不通","门户闭塞事不能","门户井灶橱厕","0.843","门户破碎有凶事","门前坑沟事不成"
"missing","梦见关门","关门避客，宜静守家事","雪落家庭主丧事","天地日月星辰","0.093","家中生松事转丰","家起高楼安稳事"
"approx","梦见门破","门户破坏主大凶","门户败坏主大凶","门户井灶橱厕","0.747","门户忽开主大吉","门户裂开主大吉"
"missing","梦见门破","门破不修，宜慎家事之失","门户破碎有凶事","门户井灶橱厕","0.126","雪落家庭主丧事","家中生松事转丰"
"exact","梦见两扇门","门扇自折奴仆走","门扇自折奴仆走","门户井灶橱厕","1.000","床脚新换奴仆凶","筋主益田宅奴仆"
"missing","梦见两扇门","两门皆开，宜慎家事之乱","冢基门开百事吉","冢墓馆郭迎送","0.126","天门开贵人荐引","云开日出凶事散"
"approx","梦见门前生草","门前生草作刺史","门前生洲作刺史","门户井灶橱厕","0.747","人与三刀作刺史","尾中生草家欲空"
"missing","梦见门前生草","草生门前，主家室名声远播","兰生庭前主添孙","地理山石树木","0.187","文书用印有名声","钟磐有声远人来"
"exact","梦见城门开","城门大开主口舌","城门大开主口舌","门户井灶橱厕","1.000","灶下器鸣主口舌","手帕者主口舌事"
"missing","梦见城门开","城门洞开，宜慎四方之言","城门大开主口舌","门户井灶橱厕","0.203","云起四方交易吉","天门开贵人荐引"
"exact","梦见小门","屋开小门主私情","屋开小门主私情","门户井灶橱厕","1.000","门自开妻有私情","妻有争主外私情"
"missing","梦见小门","小门入出，宜慎家事之私","屋开小门主私情","门户井灶橱厕","0.233","日月初出家道昌","日出有光有好事"
"missing","梦见窗户","开窗见日，主开阔有进","见军兵败主有凶","刀剑旌节钟鼓","0.140","开帐幔主有酒食","见手帕主有口舌"
"missing","梦见窗户","窗户自破，防小人是非","船浅在岸是非厄","船车游行物价","0.176","自身白衣人所谋","破镜照人主分散"
"missing","梦见墙壁","修葺墙垣，主家运稳固","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","家起高楼安稳事"
"missing","梦见墙壁","墙塌裂者，防家宅有变","天裂有分主国忧","天地日月星辰","0.093","折笋到家女有子","拜尊长者有吉庆"
"missing","梦见井","井水清澈，主家运兴旺","取井水清吉浑凶","门户井灶橱厕","0.306","火烧自是主兴旺","强贼入宅主家破"
"missing","梦见井","井水枯竭，主财源有阻","井中伏泥出主财","门户井灶橱厕","0.223","取井水清吉浑凶","掇盆脱底主财散"
"exact","梦见井水溢","井中沸溢主得财","井中沸溢主得财","门户井灶橱厕","1.000","果林中行主得财","船中有水主得财"
"missing","梦见井水溢","井水满溢，主财源广进","井中沸溢主得财","门户井灶橱厕","0.270","井中伏泥出主财","他人起笔主财进"
"exact","梦见井干","井枯涸者家财散","井枯涸者家财散","门户井灶橱厕","1.000","灶下炊者家破败","掇盆脱底主财散"
"missing","梦见井干","井干无水，宜慎财事之衰","桶无水者主大凶","床帐毡祷匙筋","0.161","井枯涸者家财散","担水来家得财喜"
"exact","梦见井中鱼","井中有鱼身主贵","井中有鱼身主贵","门户井灶橱厕","1.000","井内有鱼迁官至","羽益盖身主富贵"
"missing","梦见井中鱼","井鱼游动，主家中得财","在官厨中得财禄","门户井灶橱厕","0.306","道中得财主通达","井中沸溢主得财"
"approx","梦见取井水","取井水清吉混凶","取井水清吉浑凶","门户井灶橱厕","0.777","大水澄清大吉祥","云赤白吉青黑凶"
"missing","梦见取井水","打水入家，宜分清浊","运石入家主富贵","地理山石树木","0.194","取井水清吉浑凶","担水来家得财喜"
"exact","梦见井中照影","井中照身禄位至","井中照身禄位至","门户井灶橱厕","1.000","眉与发齐禄位至","新换衣冠禄位至"
"missing","梦见井中照影","井中现影，主前程有成","井中沸溢主得财","门户井灶橱厕","0.223","屋在井中主见病","井中伏泥出主财"
"exact","梦见灶火明","灶下燃火有声名","灶下燃火有声名","门户井灶橱厕","1.000","钟磐有声远人来","打鼓有声远有来"
"missing","梦见灶火明","灶火通明，主家室兴旺","火烧自是主兴旺","水火盗贼灯烛","0.270","天皇明主公卿至","强贼入宅主家破"
"exact","梦见灶破","灶釜破败有死亡","灶釜破败有死亡","门户井灶橱厕","1.000","灶下炊者家破败","狂风大雨人死亡"
"missing","梦见灶破","灶破不修，宜慎家事之衰","灶釜破败有死亡","门户井灶橱厕","0.114","雪落家庭主丧事","家中生松事转丰"
"approx","梦见入厨","修造厨灶大吉利","修造炊灶大吉利","门户井灶橱厕","0.747","造旌盖主大吉利","修移门户大吉利"
"missing","梦见入厨","入厨烹饪，主家和事顺","车行主百事顺利","船车游行物价","0.223","强贼入宅主家破","厕中干者主家破"
"missing","梦见厨房","厨中烹调，主家和事顺","车行主百事顺利","船车游行物价","0.223","厕中干者主家破","在官厨中得财禄"
"missing","梦见厨房","灶火通明，主财源可旺","天皇明主公卿至","天地日月星辰","0.176","井中伏泥出主财","掇盆脱底主财散"
"missing","梦见上厕","上厕在屎尿中吉","上厕在尿屎中吉","门户井灶橱厕","0.680","屎尿污人大吉亨","大树落叶屋中吉"
"missing","梦见上厕","厕中乾者主家破，宜分清洁","厕中干者主家破","污垢沐浴凌辱","0.519","强贼入宅主家破","灶下炊者家破败"
"exact","梦见入粪坑","落厕出吉不出凶","落厕出吉不出凶","污垢沐浴凌辱","1.000","自落水中不出凶","赶贼入市不出凶"
"missing","梦见入粪坑","入粪坑而出，主财运转好","井中伏泥出主财","门户井灶橱厕","0.281","身上汗出主凶恶","旗幡竞出主疾病"
"missing","梦见床","卧床安然，主心事平和","牛触人心事不成","牛马猪羊六畜","0.176","霜雪降主事不成","雪落家庭主丧事"
"missing","梦见床","床破裂者，主夫妻失和","破席者主失官位","床帐毡祷匙筋","0.270","镜破主夫妇离别","新帘者主得好妻"
"missing","梦见桥","人过桥上行，大吉","水上行者主大吉","水火盗贼灯烛","0.433","拔刀出行大吉利","入帝王官行大吉"
"missing","梦见桥","桥断折，主忧事","桥断者主有口舌","道路桥梁集市","0.285","大木忽折主凶恶","房梁忽折主大凶"
"exact","梦见过断桥","桥断者主有口舌","桥断者主有口舌","道路桥梁集市","1.000","铜裆主有口舌至","见手帕主有口舌"
"missing","梦见过断桥","过断桥而惊，宜慎言行之失","锯主有断决之事","床帐毡祷匙筋","0.076","同妇人行主失财","桥断者主有口舌"
"exact","梦见修桥","新造桥者大和合","新造桥者大和合","道路桥梁集市","1.000","杀猪者大吉利","种树木者大吉昌"
"missing","梦见修桥","修桥铺路，主积德深厚","修桥梁者万事和","道路桥梁集市","0.206","见流桥主有官事","见桥坏主有官事"
"approx","梦见桥上行","桥上坐主禄位至","桥上坐立禄位至","道路桥梁集市","0.747","驾鹞者主禄位至","几上有书禄位至"
"missing","梦见桥上行","桥上稳行，主前程顺达","车行主百事顺利","船车游行物价","0.223","星列行主添奴婢","果林中行主得财"
"missing","梦见道路","大道坦荡，百事顺遂","车行主百事顺利","船车游行物价","0.336","枫生屋上百事遂","大道崩馅主失财"
"missing","梦见道路","泥路难行，主阻滞","星列行主添奴婢","天地日月星辰","0.217","果林中行主得财","船飞行主大富贵"
"missing","梦见坟墓","新坟高大者，主得财","铅与锡者主得财","金银珠玉绢帛","0.478","放鹤者主得财吉","猫捕鼠者主得财"
"missing","梦见坟墓","棺木出门，大吉","使命入门大吉利","帝王文武呼召","0.391","墓中棺自出大吉","日初出无云大吉"
"missing","梦见坟墓","坟冢低陷，主忧","堂上地陷主安忧","地理山石树木","0.285","新冢棺郭主忧除","天裂有分主国忧"
"approx","梦见入墓","塚墓门开百事吉","冢基门开百事吉","冢墓馆郭迎送","0.687","身人土中百事吉","衣带自解百事吉"
"missing","梦见入墓","入墓出墓，主旧愁渐释","星入怀主生贵子","天地日月星辰","0.093","运石入家主富贵","身上汗出主凶恶"
"approx","梦见开棺","棺自出墓中大吉","墓中棺自出大吉","冢墓馆郭迎送","0.687","自在水中大吉利","入仓库中大吉昌"
"approx","梦见开棺","开棺与死人言凶，宜分情境","开棺与死人言凶","冢墓馆郭迎送","0.952","与恶人言有口舌","棺敛死人主得财"
"exact","梦见祭墓","祭祀神道大吉利","祭祀神道大吉利","佛道僧尼鬼神","1.000","家道贫穷大吉利","道施盖者大吉利"
"missing","梦见祭墓","祭墓诚心，主家室得安","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","堂上地陷主安忧"
"approx","梦见棺自出","棺自出墓中大吉","墓中棺自出大吉","冢墓馆郭迎送","0.717","自在水中大吉利","入仓库中大吉昌"
"missing","梦见棺自出","棺出门外，主旧愁离身","城中行凶出门吉","宫室屋宇仓库","0.176","床帐出门者妻亡","牛出门好事立至"
"exact","梦见迁葬","迁入他人新宅吉","迁入他人新宅吉","宫室屋宇仓库","1.000","飞娥入灯他人败","得他人麻布衣凶"
"missing","梦见迁葬","迁葬改墓，宜慎家事之变","雪落家庭主丧事","天地日月星辰","0.084","家中生松事转丰","家起高楼安稳事"
"missing","梦见送殡","见送殡者主灾散","丧车过者主灾散","船车游行物价","0.530","见笋者主添子孙","人送帚者主得位"
"missing","梦见送殡","送殡遇车，旧厄过去","车载不起厄事去","船车游行物价","0.158","牙木梳旧事尽去","丧车过者主灾散"
"exact","梦见上香","烧香礼拜皆大吉","烧香礼拜皆大吉","佛道僧尼鬼神","1.000","礼拜日月大吉昌","拜星月烧香大吉"
"missing","梦见上香","上香诚心，主家中无患","家中生松事转丰","地理山石树木","0.176","家中生柏大吉利","家中分财主离散"
"missing","梦见捡钱","路上拾金，主进财","与人分金主分散","刀剑旌节钟鼓","0.217","寻丝绢主进入口","桥路上住车皆凶"
"missing","梦见捡钱","拾钱而散，主破财","失落刀剑主破财","刀剑旌节钟鼓","0.373","车轮折倒主破败","米谷堆吉散主凶"
"exact","梦见金山","金银宝者主富贵","金银宝者主富贵","金银珠玉绢帛","1.000","拜朝廷者主富贵","身被霹雳主富贵"
"exact","梦见金山","玉积如山大富贵","玉积如山大富贵","金银珠玉绢帛","1.000","仰面向天大富贵","持执星宿大富贵"
"exact","梦见捡银","拾得钱物皆大吉","拾得钱物皆大吉","金银珠玉绢帛","1.000","洗染衣服皆大吉","烧香礼拜皆大吉"
"missing","梦见捡银","捡银入怀，主小有所得","星入怀主生贵子","天地日月星辰","0.306","渡天河主有所吉","日入怀贵子月女"
"exact","梦见拾珠","得金玉环生贵子","得金玉环生贵子","金银珠玉绢帛","1.000","金钗耀主生贵子","天明妇有生贵子"
"missing","梦见拾珠","拾珠入手，主家室添喜","子死者主添喜事","哀乐病死歌唱","0.223","强贼入宅主家破","厕中干者主家破"
"exact","梦见戴玉","得玉碗器物皆吉","得玉碗器物皆吉","金银珠玉绢帛","1.000","拾得钱物皆大吉","裁衣着孝衣皆吉"
"missing","梦见戴玉","戴玉护身，主家室平安","雪不沾身主孝服","天地日月星辰","0.176","羽益盖身主富贵","井中有鱼身主贵"
"exact","梦见还钱","还人钱物疾病去","还人钱物疾病去","金银珠玉绢帛","1.000","镶铅器物疾病去","罪人走脱疾病去"
"missing","梦见还钱","还钱光明，主旧债解清","天皇明主公卿至","天地日月星辰","0.176","还人钱物疾病去","受人纸钱主大吉"
"approx","梦见分财","家中分财主离敗","家中分财主离散","金银珠玉绢帛","0.903","家中乘船主没财","道中得财主通达"
"missing","梦见分财","分财不公，宜慎家事之争","剪刀主分财之事","刀剑旌节钟鼓","0.233","家中分财主离散","雪落家庭主丧事"
"exact","梦见铜器","得铜物主大富贵","得铜物主大富贵","金银珠玉绢帛","1.000","船飞行主大富贵","仰面向天大富贵"
"missing","梦见铜器","铜光照人，主家室有光","破镜照人主分散","身体面目齿发","0.306","电光照身有吉庆","抱妇人主有喜事"
"exact","梦见铁器","见铁器物主得财","见铁器物主得财","金银珠玉绢帛","1.000","剪刀剪物主得财","果林中行主得财"
"missing","梦见铁器","得铁器，主家室稳固","见铁器物主得财","金银珠玉绢帛","0.277","玉石器主有人助","强贼入宅主家破"
"exact","梦见绫锦","贵人赐绫锦官至","贵人赐绫锦官至","金银珠玉绢帛","1.000","贵人赐宴主疾病","贵人走马官事明"
"missing","梦见绫锦","绫锦在手，主名利双收","贵人赐绫锦官至","金银珠玉绢帛","0.206","登大树名利显扬","见四通路名利遂"
"exact","梦见绢帛","人赐绢帛大吉昌","人赐绢帛大吉昌","金银珠玉绢帛","1.000","被人签刺大吉昌","礼拜日月大吉昌"
"missing","梦见绢帛","绢帛入手，主家室添福","强贼入宅主家破","水火盗贼灯烛","0.223","人赐绢帛大吉昌","厕中干者主家破"
"exact","梦见拾绳","绳索主长命大吉","绳索主长命大吉","床帐毡祷匙筋","1.000","头白主长命大吉","种菜主长命大吉"
"missing","梦见拾绳","拾绳入手，主家室长寿","强贼入宅主家破","水火盗贼灯烛","0.223","厕中干者主家破","绳索主长命大吉"
"missing","梦见镜子","镜光照人，主名显","破镜照人主分散","身体面目齿发","0.433","电光照身有吉庆","持刀刺人主失利"
"missing","梦见镜子","镜破损，主夫妇分离","镜破主夫妇离别","镜环钗钏梳蓖","0.613","床帐破损妻欲亡","夫妇入市主置产"
"approx","梦见镜破","镜破主夫妻离别","镜破主夫妇离别","镜环钗钏梳蓖","0.777","夫妻分钗主离别","车轮破夫妻相别"
"approx","梦见镜破","破镜照人，主分散之忧","破镜照人主分散","身体面目齿发","0.974","与人分花主分散","与人分金主分散"
"exact","梦见照镜暗","照镜明吉暗者凶","照镜明吉暗者凶","身体面目齿发","1.000","镜明者吉暗者凶","冢墓上明吉暗凶"
"missing","梦见照镜暗","镜中暗影，宜慎自省","照镜明吉暗者凶","身体面目齿发","0.105","镜明者吉暗者凶","将镜自照远信至"
"approx","梦见釵动","金釵动有远行事","金钗动有远行事","镜环钗钏梳蓖","0.747","备马者生远行事","锤欲举动有人扶"
"missing","梦见釵动","金钿成双，主家室添爱","金钿成双增爱妾","镜环钗钏梳蓖","0.482","强贼入宅主家破","厕中干者主家破"
"approx","梦见拾簪","金釵耀主生贵子","金钗耀主生贵子","镜环钗钏梳蓖","0.747","星入怀主生贵子","门更新主生贵子"
"missing","梦见拾簪","拾簪入手，主家室添福","强贼入宅主家破","水火盗贼灯烛","0.223","厕中干者主家破","手中把谷主福禄"
"approx","梦见胭脂","得胭脂粉主生女","行胭脂粉主生女","镜环钗钏梳蓖","0.873","见脂粉主大财利","得粉扑妻生桥女"
"missing","梦见胭脂","胭脂入手，主家室添女","行胭脂粉主生女","镜环钗钏梳蓖","0.300","强贼入宅主家破","厕中干者主家破"
"approx","梦见梳篦","人与梳篦得美妾","人与梳蓖得美妾","镜环钗钏梳蓖","0.747","人与凿者得抬金","贵人与之衣冠吉"
